Word_1,Word_2,Similarity by human judging,Datamuse
planet,sun,8.02,0.077292
planet,galaxy,8.11,0.129486
planet,space,7.92,0.051177
planet,astronomer,7.94,0.059299
precedent,example,5.85,0.050258
precedent,information,3.85,0.020949
precedent,cognition,2.81,0.010509
precedent,law,6.65,0.075777
precedent,collection,2.5,0.01365
precedent,group,1.77,0.007757
precedent,antecedent,6.04,0.036421
cup,coffee,6.58,0.129226
cup,tableware,6.85,0.027821
cup,article,2.4,0.007303
cup,artifact,2.92,0.012338
cup,object,3.69,0.011445
cup,entity,2.15,0.004829
cup,drink,7.25,0.10574
cup,food,5,0.051217
cup,substance,1.92,0.018674
cup,liquid,5.9,0.052041
jaguar,cat,7.42,0.070803
jaguar,car,7.27,0.061151
energy,secretary,1.81,0.006636
secretary,senate,5.06,0.059014
energy,laboratory,5.09,0.010164
computer,laboratory,6.78,0.02244
weapon,secret,6.06,0.021436
FBI,fingerprint,6.94,0.005663
FBI,investigation,8.31,0.059876
investigation,effort,4.59,0.038591
Mars,water,2.94,0.012432
Mars,scientist,5.63,0.010925
news,report,8.16,0.075364
canyon,landscape,7.53,0.059355
image,surface,4.56,0.021657
discovery,space,6.34,0.014213
water,seepage,6.56,0.098981
sign,recess,2.38,0.016828
Wednesday,news,2.22,0.026391
mile,kilometer,8.66,0.154631
computer,news,4.47,0.021063
territory,surface,5.34,0.016997
atmosphere,landscape,3.69,0.039707
president,medal,3,0.012493
war,troops,8.13,0.067183
record,number,6.31,0.051979
skin,eye,6.22,0.053736
Japanese,American,6.5,0.09696
theater,history,3.91,0.025126
volunteer,motto,2.56,0.010656
prejudice,recognition,3,0.023783
decoration,valor,5.63,0.028068
century,year,7.59,0.051546
century,nation,3.16,0.021635
delay,racism,1.19,0.011292
delay,news,3.31,0.029412
minister,party,6.63,0.030583
peace,plan,4.75,0.014085
minority,peace,3.69,0.008777
attempt,peace,4.25,0.021579
government,crisis,6.56,0.045217
deployment,departure,4.25,0.049061
deployment,withdrawal,5.88,0.073321
energy,crisis,5.94,0.007791
announcement,news,7.56,0.125307
announcement,effort,2.75,0.031467
stroke,hospital,7.03,0.011942
disability,death,5.47,0.026445
victim,emergency,6.47,0.017156
treatment,recovery,7.91,0.041096
journal,association,4.97,0.027732
doctor,personnel,5,0.03584
doctor,liability,5.19,0.007583
liability,insurance,7.03,0.094763
school,center,3.44,0.03263
reason,hypertension,2.31,0.010747
reason,criterion,5.91,0.051652
hundred,percent,7.38,0.048397
Harvard,Yale,8.13,0.384828
hospital,infrastructure,4.63,0.012517
death,row,5.25,0.014691
death,inmate,5.03,0.027184
lawyer,evidence,6.69,0.014776
life,death,7.88,0.042574
life,term,4.5,0.032035
word,similarity,4.75,0.017377
board,recommendation,4.47,0.051475
governor,interview,3.25,0.028781
OPEC,country,5.63,0.042437
peace,atmosphere,3.69,0.020388
peace,insurance,2.94,0.018262
territory,kilometer,5.28,0.024966
travel,activity,5,0.036149
competition,price,6.44,0.032533
consumer,confidence,4.13,0.015109
consumer,energy,4.75,0.017439
problem,airport,2.38,0.011377
car,flight,4.94,0.038086
credit,card,8.06,0.036489
credit,information,5.31,0.032211
hotel,reservation,8.03,0.061483
grocery,money,5.94,0.020626
registration,arrangement,6,0.023569
arrangement,accommodation,5.41,0.033683
month,hotel,1.81,0.01503
type,kind,8.97,0.101668
arrival,hotel,6,0.042192
bed,closet,6.72,0.102294
closet,clothes,8,0.084682
situation,conclusion,4.81,0.044145
situation,isolation,3.88,0.020552
impartiality,interest,5.16,0.02511
direction,combination,2.25,0.01434
street,place,6.44,0.045434
street,avenue,8.88,0.22679
street,block,6.88,0.049829
street,children,4.94,0.012525
listing,proximity,2.56,0.016818
listing,category,6.38,0.053272
cell,phone,7.81,0.020741
production,hike,1.75,0.010447
benchmark,index,4.25,0.104328
media,trading,3.88,0.015129
media,gain,2.88,0.012726
dividend,payment,7.63,0.119164
dividend,calculation,6.48,0.03811
calculation,computation,8.44,0.327225
currency,market,7.5,0.048768
OPEC,oil,8.59,0.036056
oil,stock,6.34,0.030637
announcement,production,3.38,0.011394
announcement,warning,6,0.075793
profit,warning,3.88,0.018335
profit,loss,7.63,0.051478
dollar,yen,7.78,0.207618
dollar,buck,9.22,0.055982
dollar,profit,7.38,0.070139
dollar,loss,6.09,0.026892
computer,software,8.5,0.164699
network,hardware,8.31,0.087719
phone,equipment,7.13,0.033216
equipment,maker,5.91,0.022983
luxury,car,6.47,0.025095
five,month,3.38,0.048387
report,gain,3.63,0.025678
investor,earning,7.13,0.037081
liquid,water,7.89,0.144723
baseball,season,5.97,0.041562
game,victory,7.03,0.054481
game,team,7.69,0.077042
marathon,sprint,7.47,0.162861
game,series,6.19,0.031574
game,defeat,6.97,0.031527
seven,series,3.56,0.034139
seafood,sea,7.47,0.016352
seafood,food,8.34,0.111111
seafood,lobster,8.7,0.245955
lobster,food,7.81,0.049383
lobster,wine,5.7,0.039846
food,preparation,6.22,0.034431
video,archive,6.34,0.056971
start,year,4.06,0.048146
start,match,4.47,0.030608
game,round,5.97,0.055087
boxing,round,7.61,0.036816
championship,tournament,8.36,0.229814
fighting,defeating,7.41,0.065308
line,insurance,2.69,0.015537
day,summer,3.94,0.079015
summer,drought,7.16,0.03591
summer,nature,5.63,0.003962
day,dawn,7.53,0.125952
nature,environment,8.31,0.039494
environment,ecology,8.81,0.088591
nature,man,6.25,0.019821
man,woman,8.3,0.122367
man,governor,5.25,0.016076
murder,manslaughter,8.53,0.15261
soap,opera,7.94,0.018182
opera,performance,6.88,0.042973
life,lesson,5.94,0.030612
focus,life,4.06,0.016417
production,crew,6.25,0.012745
television,film,7.72,0.068698
lover,quarrel,6.19,0.025362
viewer,serial,2.97,0.014066
possibility,girl,1.94,0.006316
population,development,3.75,0.019034
morality,importance,3.31,0.018268
morality,marriage,3.69,0.019343
Mexico,Brazil,7.44,0.114557
gender,equality,6.41,0.055845
change,attitude,5.44,0.032356
family,planning,6.25,0.014882
opera,industry,2.63,0.016749
sugar,approach,0.88,0.002399
practice,institution,3.19,0.027237
ministry,culture,4.69,0.013839
problem,challenge,6.75,0.079581
size,prominence,5.31,0.026403
country,citizen,7.31,0.073291
planet,people,5.75,0.02137
development,issue,3.97,0.037091
experience,music,3.47,0.017765
music,project,3.63,0.012682
glass,metal,5.56,0.082899
aluminum,metal,7.83,0.21194
chance,credibility,3.88,0.024731
exhibit,memorabilia,5.31,0.037538
concert,virtuoso,6.81,0.058376
rock,jazz,7.59,0.038768
museum,theater,7.19,0.050119
observation,architecture,4.38,0.0134
space,world,6.53,0.036163
preservation,world,6.19,0.011443
admission,ticket,7.69,0.065774
shower,thunderstorm,6.31,0.057588
shower,flood,6.03,0.056204
weather,forecast,8.34,0.080702
disaster,area,6.25,0.013326
governor,office,6.34,0.066439
architecture,century,3.78,0.033113
