Sentence_1,Sentence_2,Similarity by human judging,Datamuse,Word2Vec,Glove,FastText,Yago
Meet me on the hill behind the church in half an hour. ,Join me on the hill at the back of the church in thirty minutes time.,3.93,1.290323,1.152686,4.000000,2.250776,0.318181
"If you don't console with a friend, there is a chance you may hurt their feelings.",One of the qualities of a good friend is the ability to console. ,3.01,0.038023,2.475861,3.998302,1.772450,0.271731
"We tried to bargain with him but it made no difference, he still didn't change his mind.","I tried bargaining with him, but he just wouldn't listen. ",3.43,1.043478,3.328628,4.000000,3.369697,0.206502
It gives me great pleasure to announce the winner of this year's beauty pageant.,It’s a real pleasure to tell you who has won our annual beauty parade. , 3.88,0.123636,4.000000,3.995668,4.000001,0.289032
They said they were hoping to go to America on holiday.,"I like to cover myself up in lots of layers, I don't like the cold. ",0.16,0.307692,2.925360,3.757935,2.458985,0.077647
Will I have to drive far to get to the nearest petrol station? ,Is it much farther for me to drive to the next gas station?, 3.84,3.907514,2.991484,3.979824,1.918359,0.203944
I think I know her from somewhere because she has a familiar face. ,"You have a very familiar face, where do I know you from? ",3.36,0.079602,3.129753,3.856123,3.415874,0.450377
I am sorry but I can't go out as I have a heap of work to do.,I’ve a heap of things to finish so I can’t go out I’m afraid.,3.6,0.091778,4.000000,3.998800,4.000000,0.779245
The responsible man felt very guilty when he crashed into the back of someone's car.,A slow driver can be annoying even though they are driving safely., 0.88,0.051232,3.179781,3.881902,2.577459,0.229154
Get that wet dog off my brand new white sofa.,Make that wet hound get off my white couch – I only just bought it. , 3.59,1.000000,3.525713,4.000000,3.445701,0.314559
He fought in the war in Iraq before being killed in a car crash.,The prejudice I suffered whilst on holiday in Iraq was quite alarming. , 0.55,0.149646,0.462593,3.963569,1.536481,0.235063
The cat was hungry so he went into the back garden to find lunch.,The hen walked about in the yard eating tasty grain.,1.2,0.015152,4.000000,3.962067,4.000000,0.184117
My bedroom wall is lemon coloured but my mother says it is yellow.,"Roses can be different colours, it has to be said red is the best though. ", 0.68,0.037807,-0.032973,3.999651,-0.293122,0.271899
Would you like to drink this wine with your meal?,Will you drink a glass of wine while you eat?,3.56,0.045977,3.739549,4.000000,2.924225,0.321417
"Roses can be different colours, it has to be said red is the best though.","Roses come in many varieties and colours, but yellow is my favourite.",2.83,0.320000,-0.045174,3.997736,3.079699,0.380919
Flies can also carry a lot of disease and cause maggots.,I dry my hair after I wash it or I will get ill. ,0.12,0.000000,-0.048736,3.992416,-0.647239,0.420486
Could you climb up the tree and save my cat from jumping please? ,Can you get up that tree and rescue my cat otherwise it might jump?,3.83,1.142857,3.539780,4.000000,1.954743,0.184578
"The pleasure that I get from studying, is that I learn new things.","I have a doubt about this exam, we never got to study for it.",0.74,0.285714,-0.315338,3.993499,0.157148,0.206451
The perpetrators of war crimes are rotten to the core.,"There are many global issues that everybody should be aware of, such as the threat of terrorism. ", 0.95,0.045455,1.659516,3.999735,1.511589,0.155917
The damp was mostly in the very corner of the room. ,The young lady was somewhat partially burnt from the sun.,0.11,0.585366,4.000000,3.993036,4.000000,0.057289
We often ran to school because we were always late. ,I knew I was late for my class so I ran all the way to school.,3.1,0.030651,3.328628,3.881108,3.369697,0.067873
"I hope you're taking this seriously, if not you can get out of here. ",The difficult course meant that only the strong would survive.,0.5,0.022989,-0.315338,3.978618,0.157148,0.061492
" I bought a new guitar today, do you like it?",The weapon choice reflects the personality of the carrier.,0.16,0.000000,-0.315338,3.999393,0.157148,0.195256
I am so hungry I could eat a whole horse plus dessert.,"I could have eaten another meal, I'm still starving.",3.06,0.069565,4.000000,3.998958,4.000000,0.563731
